para_indx,stability,freq,A1,A2,B1,B2
945,2,3,545,545,2,6
951,2,116,0,1,353,364
951,2,884,350,365,1,0
954,2,94,69,55,1121,542
954,2,906,2108,1035,22,21
955,2,139,0,0,3721,3721
955,2,861,3721,3721,0,0
956,2,683,0,0,310,308
956,2,317,303,310,0,0
960,2,720,0,0,612,612
960,2,280,612,612,0,0
961,2,424,0,0,1673,1673
961,2,576,1673,1673,0,0
962,2,466,0,0,503,503
962,2,534,503,503,0,0
966,2,990,1,1,4563,4564
966,2,10,4564,4564,1,1
968,2,214,0,0,1557,1559
968,2,786,1539,1559,0,0
969,2,604,5,5,4676,4676
969,2,396,67,1385,3312,68
971,2,2,2,2,2798,2798
971,2,998,155,141,147,151
973,2,86,1,1,5834,5834
973,2,914,5834,5834,1,1
975,2,710,0,0,595,595
975,2,290,595,595,0,0
978,2,668,1,1,1895,1899
978,2,332,1896,1898,1,1
983,2,921,0,0,800,800
983,2,79,800,800,0,0
985,2,58,0,0,1602,1603
985,2,942,1603,1605,0,0
987,2,281,31,33,256,37
987,2,719,926,926,1,1
990,2,4,2,2,8488,8489
990,2,996,255,233,146,146
991,2,589,0,0,459,459
991,2,411,459,459,0,0
995,2,544,0,0,284,284
995,2,456,284,284,0,0
996,2,493,0,0,405,406
996,2,507,406,406,0,0
997,2,947,0,0,1200,1200
997,2,53,1200,1200,0,0
999,2,609,2,2,402,402
999,2,391,402,402,2,2
